"SampleID","WaterbodyID","InletOrOutlet","UorV","SamplingDate","Time","WaterTemperature_C","Air_Temperature_C","Pressure_Bar","pH","O2_pct","O2_mg_l","EC_us_cm","Chla","Alkalinitet_mekv_l","Kond_ms_m_25_C","PO4_P_filtr_mg_l","PO4_P_QC","TotP_mg_l","Tot_P_filtr_mg_l","NH4_N_mg_l","NO2_NO3_N_mg_l","TOC_mg_l","Tot_N_mg_l","Susp_mg_l","Dissolved_CH4_mg_L","Dissolved_N2O_ug_L","Methanotrophs_water_sample","Methanotrophs_sediment_sample","Methanogens_water_sample","Methanogens_sediment_sample"
437,21,"Inlet",,2023-8-22 00:00:00,"14:28",15.63,17.95,1.01,8.35,44.40,4.42,353.00,12.00,2.43,29.80,0.57,,1.49,0.61,0.02,0.42,27.90,2.03,210.00,,,,,,
436,21,"Outlet",,2023-8-22 00:00:00,"14:21",15.41,17.95,1.01,8.32,30.50,3.05,354.00,12.00,2.39,29.40,0.52,,0.88,0.57,0.03,0.32,35.90,2.46,170.00,,,,,,
435,16,"Inlet",,2023-8-22 00:00:00,"13:16",14.21,20.65,1.01,8.56,65.60,6.73,309.00,8.00,3.26,38.80,0.05,,0.09,0.06,0.01,2.14,15.00,2.68,19.00,,,,,,
434,16,"Outlet",,2023-8-22 00:00:00,"13:02",15.87,20.65,1.01,8.15,28.40,2.81,478.00,7.00,3.17,39.90,0.04,,0.12,0.06,0.07,1.90,15.30,2.66,22.00,,,,,,
433,39,"Inlet",,2023-8-22 00:00:00,"11:14",13.81,17.32,1.01,8.52,69.10,7.15,355.00,12.00,2.21,28.60,0.01,,0.05,0.03,0.01,1.33,25.40,2.16,24.00,,,,,,
432,39,"Outlet",,2023-8-22 00:00:00,"10:53",14.71,17.32,1.01,7.83,42.20,4.28,338.00,11.00,2.02,26.70,0.01,,0.06,0.03,0.03,1.08,26.10,1.98,26.00,,,,,,
431,28,"Outlet",,2023-7-27 00:00:00,"15:25",16.35,19.58,1.00,7.93,9.70,0.94,344.00,5.00,2.41,30.00,0.19,,0.52,0.23,0.29,,10.40,0.95,15.00,,,,,,
430,28,"Inlet",,2023-7-27 00:00:00,"15:00",14.44,19.58,1.00,7.90,27.80,2.81,387.00,3.00,2.17,33.30,0.02,,0.08,0.02,0.05,0.56,4.90,0.90,12.00,,,,,,
429,5,"Outlet",,2023-7-27 00:00:00,"12:35",14.04,16.92,1.00,7.84,0.50,0.05,635.00,43.00,3.75,52.60,0.15,,1.27,0.23,0.05,,20.70,1.47,31.00,,,,,,
428,5,"Inlet",,2023-7-27 00:00:00,"12:00",18.81,16.92,1.00,7.98,3.60,0.33,733.00,17.00,4.81,63.20,0.06,,0.22,0.14,0.01,,18.80,1.37,9.00,,,,,,
